size,thread_count,sum,time
10000000,1,55001793,147767
10000000,2,55001793,100725
10000000,3,55001793,50377
10000000,4,55001793,64154
10000000,5,55001793,31195
10000000,6,55001793,52568
10000000,7,55001793,37629
10000000,8,55001793,32900
10000000,9,55001793,29807
10000000,10,55001793,27212
10000000,11,55001793,24647
10000000,12,55001793,21864
10000000,16,55001793,25476
10000000,100,55001793,23324
10000000,500,55001793,32319
10000000,2000,55001793,53755
10000000,1,55001513,147906
10000000,2,55001513,99653
10000000,3,55001513,76778
10000000,4,55001513,63699
10000000,5,55001513,31212
10000000,6,55001513,52080
10000000,7,55001513,38038
10000000,8,55001513,32930
10000000,9,55001513,29440
10000000,10,55001513,26429
10000000,11,55001513,23748
10000000,12,55001513,37874
10000000,16,55001513,36200
10000000,100,55001513,23541
10000000,500,55001513,31920
10000000,2000,55001513,52747
10000000,1,55009024,148488
10000000,2,55009024,75083
10000000,3,55009024,76553
10000000,4,55009024,64219
10000000,5,55009024,31017
10000000,6,55009024,25620
10000000,7,55009024,36699
10000000,8,55009024,32778
10000000,9,55009024,29617
10000000,10,55009024,26616
10000000,11,55009024,24089
10000000,12,55009024,44950
10000000,16,55009024,35706
10000000,100,55009024,24410
10000000,500,55009024,31374
10000000,2000,55009024,53202
10000000,1,55002116,147863
10000000,2,55002116,74688
10000000,3,55002116,76482
10000000,4,55002116,63995
10000000,5,55002116,57903
10000000,6,55002116,52353
10000000,7,55002116,37942
10000000,8,55002116,33401
10000000,9,55002116,29177
10000000,10,55002116,26300
10000000,11,55002116,23527
10000000,12,55002116,22221
10000000,16,55002116,26264
10000000,100,55002116,23292
10000000,500,55002116,29072
10000000,2000,55002116,53033
10000000,1,54987694,153237
10000000,2,54987694,88835
10000000,3,54987694,76189
10000000,4,54987694,64433
10000000,5,54987694,57306
10000000,6,54987694,52169
10000000,7,54987694,36954
10000000,8,54987694,33401
10000000,9,54987694,29200
10000000,10,54987694,26744
10000000,11,54987694,23520
10000000,12,54987694,21869
10000000,16,54987694,30648
10000000,100,54987694,23907
10000000,500,54987694,29624
10000000,2000,54987694,52646
10000000,1,55009009,147742
10000000,2,55009009,99662
10000000,3,55009009,50411
10000000,4,55009009,65262
10000000,5,55009009,35723
10000000,6,55009009,52538
10000000,7,55009009,37315
10000000,8,55009009,32786
10000000,9,55009009,29680
10000000,10,55009009,27161
